,posting_date,description,title,employer,industry,id,source,country
38,"Oct 7, 2019","you will be responsible for making the current algorithm more bulletproof while delivering new algorithms and products to power their analysis platform..you will be working on advanced time series models along with addressing various other challenges within machine learning, modelling and analytics..you will lay the groundwork for the future of their data science practice, designing, implementing and launching your own products, features and frameworks..msc or phd in statistics, applied mathematics, computer science, physics from a top tier university (oxford, cambridge, harvard etc).strong background in statistical modelling and delivering data science projects..experience with the following; supervises and unsupervised ml, time series analysis, outlier detection)..ability to write python (various libraries), and preferably r too..",Senior Data Scientist,Pivotal London,Staffing & Outsourcing,98083,Glassdoor,United Kingdom
39,"Oct 7, 2019","conduct algorithmic r&d over speech and vision data..experiment with various ml platforms suitable for video analytics.work intensively with different types of data arriving from multiple sources and channels.interact with customers to formalize requests and requirements into algorithmic constraints.work closely with the product & engineering teams in designing and implementing solutions.msc/phd/equivalent in cs/ee/physics or a related field.at least 7 years’ experience in machine learning and/or data mining theory and algorithms.extensive experience with algorithm development for various types of data.extensive experience with algorithmic coding as well as with real data testing.extensive programming experience in languages such as python/c#/c++/java.ability to lead collaborative technical projects from conception to successful implementation.outstanding communication skills, comfortable in front of customers and a team player.independent, capable of making decisions in an ambiguous environment.",Senior Data Scientist ASME IL Data Science Group,Microsoft,Computer Hardware & Software,144326,Glassdoor,Israel
40,"Oct 5, 2019","experience building complex etl pipelines using python.proven experience with aws stack.some knowledge of big data related tools and techniques.you will be using aws, python and sql to interpret data from a wide range of sources and deliver it to all parts of the business.work closely with the product owners, designers and other engineers to design and refine the work.helping to develop their data lake and data warehouse.",Senior Data Engineer,X4 Group,Staffing & Outsourcing,124002,Glassdoor,United Kingdom
41,"Oct 4, 2019",excel: 1 year (preferred).,Market Data Management Analyst,MDSL,Enterprise Software & Network Solutions,29519,Glassdoor,Kingdom
42,"Oct 4, 2019","handson experience in data engineering including knowledge in implementing best of class tools, technologies and practices..previous experience in building up data pipelines and infrastructure from scratch.proven background within scripting (e.g. bash, python, ruby, perl, php).experience with the hadoop stack (hdfs, pig, hive, zookeeper, oozie, flume, spark).proficiency in a sql dialect and familiarity with one or more schema definition languages (e.g. ddl, sdl).experience with deployment and management of a nosql database (e.g. couchdb, mongodb) is desirable.solid knowledge and expertise across data integration and data management.experience with data warehousing solutions and visualisation tools (e.g. tableau).**to find out more about computer futures please visit ######.###***.",Senior Data Engineer,Computer Futures,IT Services,140994,Glassdoor,United Kingdom
43,"Oct 4, 2019","5+ years in a leadership/management capacity around data engineering, building a data warehouse, data marts, and data pipelines..experience partnering with business teams to architect and strategize technology and data roadmap..experience with big data architectures and data modeling to efficiently process large volumes of data..background in etl and data processing, know how to transform data to meet business goals..experience developing large data processing pipelines on apache spark..experience with python or java programming languages..strong understanding of sql and working knowledge of using sql for various reporting and transformation needs..excellent communication, adaptability and collaboration skills..experience running agile methodology and applying agile to data engineering..excellent verbal and written communication skills..strong communication skills..able to clearly express opinions on product design, while respecting the thoughts and opinions of their peers..proven ability to communicate and collaborate effectively with engineers and non-engineering stakeholders alike.",Director of Data Engineering,RealTime Recruitment Limited,Staffing & Outsourcing,98861,Glassdoor,GB
44,"Oct 4, 2019","answering phone calls * data inputting on our management information system * maintaining office systems, including data management and filing * removing corrupted data * provide general office support to all staff * attending meetings * organising and managing diaries * performing initial analysis to assess the quality of data * maintaining online systems * extracting data information as and when required requirements and prospects desired skills * excellent communication skills * good organisational skills * good telephone manner * willingness to work as part of a team * experience with word press * general it skills personal qualities * hardworking * punctual and reliable * flexible * work well on their own initiative * smart appearance * friendly * able to relate to people on different levels * willing to listen and learn * not afraid to ask questions desired qualifications gcse or equivalent in english and maths at grades c/4 or above is preferred. future prospects this opportunity comes with the prospect of moving into business management and financial management..",Business Administration / Data Analyst Apprenticeship,"Government jobs, apprenticeship",,155550,Glassdoor,GB
45,"Oct 31, 2019","at least 3 years hands-on experience of data applications development (etl, mr) at scale.at least 3 years experience of building applications and infrastructure in a hadoop big data environment.hands-on development experience in python and scala.experience with kafka. confluent platform (kafka connect, schema registry).experience in one or more of the following technologies: hadoop, spark, hive, pig.outstanding sql query writing abilities and data understanding.excellent communication skills and a team player.",Big Data Engineer,DoubleVerify,Internet,59428,Glassdoor,IL
46,"Oct 31, 2019","build the vision, set the strategy, and define the roadmap for the effective use of data and the data engineering services in all the teams across commercial operations..ensure that high quality data is always available to generate business insights and that data pipelines incorporate privacy and security elements..be part of the commercial operations tech & product leadership team and the subject matter expert when it comes to topics related to data and insights..lead and mentor (senior) data analytics leaders. recruit, retain and grow world-class talent in data engineering and analytics inside commercial operations..always looking for innovative ways to use data and analytics to drive business performance and meet our company and department objectives.be able to design online and offline large scale experiments that involve multiple areas of the business..build and maintain strong connections with the global analytics function in central product and data engineering in central technology..be an expert in managing stakeholder across the different departments of commercial operations (cs, ps, content) and the booking.com leadership team..be a trusted advisor for the commercial operations leadership team and use your skills to explain complex problems in simple terms..be the point of reference of the larger data science & analytics craft and community in commercial operations. ensure that everyone in this community has the right support and is able to do their best work and grow in their craft.7+ years of experience leading large analytics and/or data engineering teams at a high growth enterprise..able to smoothly introduce changes using excellent stakeholder management, change-management, and story-telling skills..subject matter expertise in data engineering, data science and analytics with a proven track record of working on successful innovative products. set the vision and strategy to use data to steer the business and maximize the success of the product aligned with team and business goals..experience with managing and coaching teams of senior analytics managers including building and growing teams..experience working with product and tech departments and cross functional senior stakeholders..expert in leading through influence with stakeholders including executives..living and working in amsterdam, one of the most cosmopolitan cities in europe.contributing to a high scale, complex, world renowned product and seeing real time impact of your work.working in a fast paced and performance driven culture.career advancement via online and on-the-job training, hackathons, conferences and active community participation.competitive compensation and benefits package and some great added perks of working in the home city of booking.com.",Director of Data Science Analytics & Insights -Commercial Operations,Booking.com,Internet,118880,Glassdoor,
47,"Oct 31, 2019","a graduate degree (e.g. masters or phd) in a quantitative discipline (systems biology, data science, engineering & modeling, applied mathematics, physics or similar)..previous extensive relevant work experience, including full time industry experience or post-doctoral research..a deep understanding of oncology or drug discovery, and the molecular drivers of human diseases..extensive experience working with pre-clinical or clinical biological data e.g. genomics..experienced project manager:

.proven ability to mentor and motivate teams, directly and indirectly..comfort supervising work in cross-disciplinary and global project environments..an ability to influence leadership and direct scientific and technical strategy..expert analyzing data in network or graph representations, including use of state-of-the-art statistical and machine learning techniques, particularly in one of:

.systems biology, bayesian networks, quantitative modeling or causal reasoning.machine/deep learning integrating knowledge with biological/health data.representational learning of graphs/networks (e.g. gcns).transfer learning, machine attention, active learning, reinforcement learning.skilled in effective communication of complex data and methods to a non-expert..programming proficiency esp. python and r, networked and cloud-based systems, fair data practices, and graph data representations e.g. triple/quad stores..an excellent publication track record..well networked across relevant data science and scientific communities..you will take a position on the computational oncology and cross-functional knowledge graph .youll coach and .guide identification and curation of data underpinning the graph..drive input of assertions to the graph through analysis of published and proprietary biological knowledge and data..interrogate disease knowledge graphs to reveal patterns and actionable insight. impacting research and clinical practices..you will direct and .steer design of machine attention, active learning and reinforcement learning to maximize benefit to and from az scientists/clinicians..<strong>youll educate</strong>.<strong>you will collaborate</strong>.maintain awareness of .youll grow our external reputation by .","Lead Research Data Scientist, Oncology R&D, Knowledge Graph team",AstraZeneca,Biotech & Pharmaceuticals,116926,Glassdoor,United Kingdom
48,"Oct 31, 2019","lead, manage and develop a team of data scientists, data engineers and applications developers.prioritize and coordinate work within and outside the team.ensure alignment of solutions with business and other systems groups’ goals and objectives.manage a portfolio of multiple projects at a time.excellent business acumen - understand how key metrics drive a business.deep holistic knowledge of the wafer factory challenges with a view of industrial and systems engineering to enable delivery of quality products and how it all fits in the seagate supply chain.creative and resourceful problem solver; self-starter with strong initiative.demonstrated ability to manage projects and global software teams working on systems projects in an agile environment.possess a passion for delivering business solutions quickly.good knowledge of stem field (preferred).experience with devops methodologies.leading cross-site and cross-functional projects.experience in identifying and resolving factory challenges with systems solutions and leveraging existing systems to improve upon and expand from the systems.collaborating with application owners and business partners to manage priorities and to deal with issue resolution.experience prioritizing typical job responsibilities and projects in conjunction with ad hoc requests and team improvements.developing project cost and benefit estimates, including identification and evaluation of alternatives.",Senior Engineering Manager - Data Analytics,Seagate Technology,Computer Hardware & Software,15423,Glassdoor,
49,"Oct 31, 2019","
bachelor's degree in any quantitative-related field: statistics, machine learning, mathematics, computer science. .
at least 5 years of working experience in data science.
experience working with natural language processing and machine learning libraries..
experience with data mining tools (sas, python, spss, r)..
experienced with predictive modeling(linear and non-linear regression, logistic regression, and time series analysis models).
deep learning algorithm as well as experience working with unstructured data and experience cleaning and manipulating data..
communication skills are imperative regarding the conveyance of information and instructions down the line to junior data science personnel..
good skills in sql server reporting services, analysis services, domo, integration services, nosql, tableau, salesforce, or other data visualization tools..
career plan that will let you grow and plan for the future.
22+ days off per year starting from day one.
15 days of christmas bonus.
food coupons.
major medical insurance (for you and your family).
law benefits: imss, afore, infonavit.
trainings and certification plans.
daily perks (coffee, game room, snacks).
flexible schedule.
relocation support if needed.",Senior Data Scientist,Tiempo Development,Enterprise Software & Network Solutions,136434,Glassdoor,
50,"Oct 31, 2019","<strong>understand our customers.</strong>.<strong>impact change.</strong>.4+ years of practical machine learning experience.deep understanding of machine learning techniques and algorithms, such as k-nn, naive bayes, svm, decision forests, etc..experience with deep learning techniques, mainly cnns and rnns (gans and rl experience is a plus).experience with spatial data and/or gis.experience in at least one of these toolkits: r, weka, scikitl-learn, matlab.familiarity with machine learning frameworks/libraries/packages/apis (e.g., theano, spark mllib, h2o, tensorflow, pytorch, etc.).proven experience in etl, data processing, transformation, cleaning, and data warehousing techniques.experience with applied statistics skills, such as distributions, statistical testing, and regression.experience with widely used probability methods (conditional probability, bayes rule, likelihood, independence, etc.).experience with time series analysis.experience with data visualization techniques and tools (e.g., ggplot2).strong software engineering background (oop, data structures, algorithms, computability, and complexity).excellent conversation and communication skills.bachelor’s in a relevant quantitative field, such as statistics, operations research, or computer science, depending on position level (master's or phd preferred).proven understanding of multivariable calculus and linear algebra.experience dealing with massive data sets, using big data tools (hadoop hdfs, mapreduce, accumulo, presto, mongodb, cassandra, hbase, r, mahout, pig, and hive, dc/os).hands-on experience and expertise with cloud computing services (aws, azure, etc.).",Senior Data Scientist,Esri,Computer Hardware & Software,51508,Glassdoor,
51,"Oct 31, 2019","numpy, scipy, pandas, scikit-learn, xgboost, libsvm, dask, bokeh, graphviz, etc..tensorflows, pytorch, keras, etc..sql & nosql, pyspark, elasticsearch, etc..",Stage - 6 mois - Data Scientist Translation H/F - Paris,BPCE,Banks & Credit Unions,118237,Glassdoor,
52,"Oct 31, 2019","supporting the business' bi, data and reporting needs.setting up and maintaining automated operational and financial reports to internal and external stakeholders.analysis of data and providing ad-hoc reports.facilitating and/or setting up of reports that can be used to report on in various management and business review forums.working closely with all of mr d food's teams to understand their data and bi needs..facilitating access to the required data and also striving to make access to information as seamless as possible..extracting data currently not available through our standardised bi tools..analysing data and providing insights in an appropriate and easy to understand manner.solutions-oriented with a can-do attitude and high energy.strong analytical and critical thinking skills are imperative.you have a track record of delivering high-quality work in a fast-paced environment.ability to distill the conclusions of findings form large data sets in easy to understand and to the point reports.ability and appetite to get involved in multiple projects.ability to prioritise and manage multiple stakeholders expectations.focused on getting the job done, yet having fun doing so.taking ownership and displaying accountability in the work required of you.there must be a keen interest in e-commerce, and even better the gig economy.you have a degree in the related fields of computer science, engineering, statistics or mathematics..you have experience working with big sets of data.you have worked in the field of bi and data for 1+ years.you have knowledge of qlikview and/or qliksense, sql.python and or r knowledge are certainly an advantage.takealot.com employees are entrepreneurial and dynamic, smart, customer-centric, fun and have the shared ambition of takealot.com being the leading e-commerce company in africa..we have fun, work hard, take ownership, work in teams to create solutions, and are always open to direct feedback/new ideas on where we can improve..we are short on ego and high on output..we are doers and not only thinkers, its all in the execution after all..we love what we do and what we are creating..is respectful but forthright.is an expert at doing, who can not only design but also execute.is analytical, able to use data to make decisions.is competitive, self-directed and strive to be the best (great requires a lot of work and does not only happen during business hours.is business smart. able to think about problems from a business perspective using technical and product input;.is curious and challenge the status quo.is innovative and enjoys iteration.is collaborative.will be at the cutting edge of developing new concepts for takealot.com.<strong>thinks like an owner</strong>.",BI Data Analyst - Mr D Food,takealot.com,,33480,Glassdoor,ZA
53,"Oct 31, 2019",strong verbal and written communication skills.analytical and problem solving skills.strong strategic and conceptual aptitude.ability to multi-task and prioritize multiple projects concurrently.minimum predicted classification of a uk 2.1 or equivalent gpa of 3.0.languages: english and romanian to professional standard in addition to b2 level in french/german/italian/spanish/portuguese.,"Mastercard Graduate Launch Program 2020 – Data and Services, Consulting - Bucharest, Associate Consultant",Mastercard,Financial Transaction Processing,33436,Glassdoor,
54,"Oct 31, 2019","bachelor's degree in computer science, related technical field, or equivalent practical experience..experience serving in the capacity of a technical sales engineer in a cloud computing environment or experience in a customer facing role..experience with database technologies..experience with data migration strategies and moving large scale production systems..master's degree in computer science or other technical field..experience with optimizing database performance with respect to transactional and/or analytic workloads..technical sales experience or professional consulting experience in the fields of systems integration, large scale data transfer/management, and enterprise database performance..experience in disaster recovery (dr) and data backup strategies..ability to quickly learn, understand, and work with new emerging technologies, methodologies, and solutions in the cloud/it technology space..ability to travel as required..work with teams to identify and qualify business opportunities, understand key customer technical objections and develop the strategy to resolve technical blockers..share in-depth storage and database expertise to support the technical relationship with google’s customers..work with customers to demonstrate and prototype google cloud product integrations in customer/partner environments..recommend integration strategies, enterprise architectures, platforms and application infrastructure required to successfully implement a complete solution using best practices on google cloud..","Sales Engineer, Data Management, Google Cloud Platform",Google,Internet,136083,Glassdoor,Italy
55,"Oct 31, 2019","experience in aws and/or azure (emr, hdiinsight)..practical experience in devops practice and automation toolsets (continuous integration/continuous delivery).knowledge of scala (or advanced java), python or equivalent oo development language required..advanced working sql knowledge and experience working with relational databases,.practical experience in development of data pipeline in traditional and modern analytics (data warehouse and data lake)..strong understanding of security, data protection and privacy concepts especially related to cloud..proven understanding of infrastructure as a code, scripting, virtualization and orchestration concepts..demonstrated knowledge of cloud platform technologies both on the infrastructure and the development side preferred..strong communication skills: experience with communicating dynamics of complex systems in a concise and clear manner.self-motivated, self-learning , accepts difficult challenges and thinks out of the box..team player, self-learning with an interest in the automotive world..required field.required field.required field.required field.required field.start your application.",IT Data Engineer EMEA (m/f),Goodyear,Industrial Manufacturing,9448,Glassdoor,
56,"Oct 31, 2019","strong technical excel knowledge and application skills.strong understanding of database concepts.<strong>strong vba coding skills (1 years+)</strong>.<strong>r &amp; python knowledge and skills (1 years+)</strong>.proficient in other ms office products – word, ppt etc..an analytical mind with a flair for building creative and visually appealing reports.strong communication skills – verbal and written.knowledge of statistics.a quick learner with the ability to work independently and within a team environment.an understanding of the business processes within the financial services industry.sql server integration services (ssis) knowledge.sql stored procedure knowledge.bi knowledge.r & python: 1 year (preferred).sql: 2 years (preferred).burlington, on (preferred).",Jr. Data Analyst,Satori Consulting inc.,Consulting,118095,Glassdoor,CA
57,"Oct 31, 2019","recognise and meet competing priorities and deadlines.ensuring highest data quality through manual and automated data checks.supporting tier 1 desk by analysing and resolving their queries.contacting data vendors and exchanges to resolve data quality issues.eliciting and communicating business requirements from internal stakeholders.preparation of high quality business requirements and functional specifications.assess and define solutions based on risk, impact and feasibility.select and justify the recommended solution.work with data acquisition, development, testing and marketing teams to on board new, or enhance data content.experience in the iress product suite is highly desirable.strong knowledge of financial markets is key especially in the south africa equity, derivative and fixed income markets.experience working with sql databases and query language is highly desirable.ability to negotiate with internal and external parties.ability to critically evaluate requirements from a functional perspective.ability to work across regions as part of a global team and collaborate across time zones.effective elicitation skills including workshop facilitation and other elicitation techniques.leads by example, sets a high standard of work and personal values.displays initiative, and creates an environment that fosters initiative in others.tertiary qualifications in business or information technology is highly desirable.strong written and verbal communication skills are a must.state-of-the-art offices.casual dress, flexible work policy.access to learning and development programs.young, diverse workforce.3 days’ leave per year for charity initiatives.global 36-hour hackathon.pause & bar area, pool table, table tennis, friday afternoon drinks.close access to shopping centers.active sports & social and csr events.up to 26 weeks’ paid parental leave for primary carers (up to 4 weeks for secondary carers), and the ability to work part-time when returning to work..",Financial Markets Data Manager,IRESS,Computer Hardware & Software,136467,Glassdoor,
58,"Oct 31, 2019","informatica data quality (idq) mapping development including documentation and testing.work with business, operations and business analysts to elicit, define and document data quality requirements.identify opportunity areas where data quality or process can be improved.prepare, train and handover operational procedures to business operations and systems teams.provide pre and post-implementation support to business operations and systems teams..experience of working as a data analyst (2 years).in depth knowledge and experience and passion in the data space.must have the ability to understand and relate data quality, data lineage and metadata.an understanding of the overall investment process (order management and trade life cycle) and its data needs of a buy-side investment firm..informatica developer exam certified (version 10).client focused and delivery oriented.must demonstrate a commitment to high quality solutions.being proactive and a self starter.accuracy and attention to detail.able to identify improvements to data quality and process.must be able to self plan, prioritise and manage time appropriately.ability to develop and maintain good relationships with all business and technology stakeholders.strong customer awareness with ability to manage customer expectations.strong problem solving skills with the ability to think laterally to arrive at a solution.flexible and positive attitude, openness to change and new ways of doing things.ability to learn and quickly get familiar with a complex business and systems environment.ability to discuss both business and related technology at various levels.",Analyst/Senior Analyst Programmer- Data Quality,Fidelity International,Investment Banking & Asset Management,114104,Glassdoor,
59,"Oct 31, 2019","build and operate data pipelines in a devops context, based on real business requirements and with attention for quality and risk. you'll work with recent technologies such as:

.amazon web services data api's such as s3, kinesis, sqs, ....spark, databricks, glue, ....snowflake, redshift, ....apache airflow.you'll mine for insights, drive business analysis, data modelling, the occasional reporting and manage documention..you'll communicate with customers during project meetings, stand-ups and workshops..have basic certification and technical accreditiations on aws..understand how to scale modern data analytics.be working on an exciting cloud project with a team of likeminded colleagues.have attended a team meeting (dinner's on us!).have achieved an aws solutions architect certificate.take ownership of your own projects or features.have measurably improved on both soft- and tech skills.have attended at least one relevant industry event.a bs or ms in computer science, electronics, maths, economics or statistics.passionate for ‘big data', data science, cloud computing and technology in general..a top notch problem solver and critical thinker.up-to-date on programming knowledge, in languages such as sql, python, javascript, node.js; with knowledge of a sql or nosql database platform..knowledgeable of linux and experience with amazon web services is a strong advantage..a team player: good interpersonal and communication skills both internally as well as client-facing. you're happy to share your knowledge on our slack platform..fluent in english..a down-to-earth person with a growth mindset..allowed to work in belgium..container ops platforms such as kubernetes, docker, helm.application lifecycle management: git, cirleci, jenkins, cloudformation, ....deployment strategy: blue/green, canary, ...projects for top companies in belgium and abroad..working in a team that's as passionate as you are..unique opportunities to build knowledge on (cloud) data analytics..a personal training budget aimed at professional and technical skills..the opportunity to build relationships within today's hot tech companies..training and guidance on our partner technology stack with access to an international network of experts..a competitive salary.health care insurance.",Cloud Data Engineer,Tropos.io,,137817,Glassdoor,BE
60,"Oct 31, 2019","work
.report
.work
.able to
.enthusiastic
.english: business level (require toeic 800+).japanese: native level.",Manager of Product (Customer Data Platform): DSAID,Rakuten,Internet,113614,Glassdoor,
